"","Zip","Median","Pop","city","state","latitude","longitude"
"127","01370",53002.727,"4020","Shelburne Falls","MA",42.603447,-72.72754
"128","01373",61437.865,"4618","South Deerfield","MA",42.472734,-72.62452
"129","01375",59722,"3769","Sunderland","MA",42.449978,-72.56302
"130","01376",36099.3713,"5149","Turners Falls","MA",42.609425,-72.54438
"131","01378",54836,"742","Warwick","MA",42.667152,-72.32729
"132","01379",54836,"949","Wendell","MA",42.547274,-72.41724
"133","01420",48605.9317,"39333","Fitchburg","MA",42.578689,-71.80338
"134","01430",79874.6,"5551","Ashburnham","MA",42.658768,-71.93287
"135","01431",80143,"2833","Ashby","MA",42.672005,-71.8137
"136","01432",55863,"7008","Ayer","MA",42.549821,-71.59136
"137","01434",119015.8934,"1017","Devens","MA",42.53,-71.61
"138","01436",66138,"3097","Baldwinville","MA",42.608903,-72.08021
"139","01438",66138,"413","East Templeton","MA",42.563367,-72.03498
"140","01440",51232.0665,"20904","Gardner","MA",42.575355,-71.99183
"141","01450",123278.3236,"9547","Groton","MA",42.609887,-71.55722
"142","01451",141274,"4922","Harvard","MA",42.505928,-71.5888
"143","01452",82443,"3901","Hubbardston","MA",42.477515,-71.99654
"144","01453",57280.2054,"41066","Leominster","MA",42.526523,-71.75358
"145","01460",103750.5366,"8147","Littleton","MA",42.540052,-71.49085
"146","01462",84910.6252,"9475","Lunenburg","MA",42.582839,-71.72051
"147","01463",85403.1701,"11120","Pepperell","MA",42.665686,-71.5929
"148","01464",72598,"6374","Shirley","MA",42.559289,-71.64555
"149","01467",141274,"328","Still River","MA",42.488666,-71.62412
"150","01468",66138,"3134","Templeton","MA",42.557796,-72.06824
"151","01469",78501.832,"6892","Townsend","MA",42.658738,-71.69204
"152","01473",79073,"6906","Westminster","MA",42.544622,-71.9021
"153","01474",78207.118,"2302","West Townsend","MA",42.669408,-71.74578
"154","01475",56274.404,"9597","Winchendon","MA",42.675441,-72.0467
"155","01501",70682.8636,"15923","Auburn","MA",42.20361,-71.83843
"156","01503",92917,"2517","Berlin","MA",42.380562,-71.62665
"157","01504",74067.1525,"8824","Blackstone","MA",42.028147,-71.52999
"158","01505",88214,"4083","Boylston","MA",42.338392,-71.73026
"159","01506",60189,"3056","Brookfield","MA",42.200374,-72.09787
"160","01507",86561.1616,"11274","Charlton","MA",42.135142,-71.96961
"161","01510",57957.1993,"13261","Clinton","MA",42.418836,-71.68482
"162","01515",71964,"2095","East Brookfield","MA",42.212777,-72.05311
"163","01516",86214.162,"7089","Douglas","MA",42.061437,-71.72887
"164","01518",72982.5526,"2303","Fiskdale","MA",42.12515,-72.12393
"165","01519",105605.1052,"6128","Grafton","MA",42.201674,-71.68771
"166","01520",92165.7024,"12543","Holden","MA",42.338962,-71.84434
"167","01521",65917,"2408","Holland","MA",42.054676,-72.16137
"168","01522",82165.117,"3083","Jefferson","MA",42.369658,-71.87418
"169","01523",80938,"7102","Lancaster","MA",42.473131,-71.67946
"170","01524",74315.9588,"6356","Leicester","MA",42.238942,-71.91908
"171","01525",89583,"88","Linwood","MA",42.364807,-71.896868
"172","01527",68319.357,"12850","Millbury","MA",42.196144,-71.76272
"173","01529",77250,"2715","Millville","MA",42.036396,-71.57798
"174","01531",61250,"942","New Braintree","MA",42.317121,-72.12248
"175","01532",103270.8247,"14028","Northborough","MA",42.321917,-71.64692
"176","01534",76675.3135,"4527","Northbridge","MA",42.140741,-71.64376
"177","01535",57196,"4703","North Brookfield","MA",42.267274,-72.07823
"178","01536",89347.4537,"5977","North Grafton","MA",42.231444,-71.70523
"179","01537",68664,"2219","North Oxford","MA",42.170846,-71.88989
"180","01540",62079.2575,"10958","Oxford","MA",42.117527,-71.8657
"181","01541",102853,"3341","Princeton","MA",42.451569,-71.882
"182","01542",67171.6631,"2025","Rochdale","MA",42.194793,-71.90651
"183","01543",81295,"6332","Rutland","MA",42.380877,-71.96427
"184","01545",88643.2386,"31637","Shrewsbury","MA",42.286643,-71.72502
"185","01550",48194.9227,"17217","Southbridge","MA",42.070827,-72.03533
"186","01560",68854,"2754","South Grafton","MA",42.177462,-71.69382
"187","01561",80938,"236","South Lancaster","MA",42.443539,-71.686137
"188","01562",65184.0108,"11681","Spencer","MA",42.247212,-71.99227
"189","01564",102115,"7267","Sterling","MA",42.436875,-71.77333
"190","01566",72387.0577,"5531","Sturbridge","MA",42.104581,-72.08584
"191","01568",107950,"5650","Upton","MA",42.17382,-71.60971
"192","01569",80536.3525,"11080","Uxbridge","MA",42.064978,-71.62992
"193","01570",50141.802,"16396","Webster","MA",42.047728,-71.86108
"194","01571",64228.224,"10023","Dudley","MA",42.049864,-71.9173
"195","01581",101875.7052,"17899","Westborough","MA",42.269845,-71.61408
"196","01583",79865.4027,"6665","West Boylston","MA",42.359842,-71.787
"197","01585",60375.65,"4472","West Brookfield","MA",42.242965,-72.16734
"198","01588",67286.1367,"8644","Whitinsville","MA",42.114195,-71.67225
"199","01590",104729.6872,"8247","Sutton","MA",42.131028,-71.75121
"200","01602",61861.4355,"21596","Worcester","MA",42.272359,-71.84482
"201","01603",37453.7399,"14613","Worcester","MA",42.240526,-71.83776
"202","01604",47437.8818,"33032","Worcester","MA",42.255393,-71.77459
"203","01605",41023.1055,"24799","Worcester","MA",42.286543,-71.78846
"204","01606",57646.182,"19516","Worcester","MA",42.311342,-71.79531
"205","01607",47987.4506,"8415","Worcester","MA",42.229543,-71.79501
"206","01608",26525.9635,"3634","Worcester","MA",42.261343,-71.80173
"207","01609",44500.9287,"20425","Worcester","MA",42.271743,-71.81348
"208","01610",21388.2312,"15545","Worcester","MA",42.248493,-71.80793
"209","01611",63333,"2206","Cherry Valley","MA",42.238449,-71.87139
"210","01612",100358.3831,"4363","Paxton","MA",42.307591,-71.91929
"211","01701",92017.7545,"31114","Framingham","MA",42.318695,-71.42344
"212","01702",53080.7065,"35990","Framingham","MA",42.283995,-71.42161
"213","01718",84559,"374","Village Of Nagog Woods","MA",42.519739,-71.42721
"214","01719",102222,"4870","Boxborough","MA",42.486259,-71.51244
"215","01720",110533.8897,"19798","Acton","MA",42.477142,-71.4422
"216","01721",91903.5675,"14602","Ashland","MA",42.257956,-71.45886
"217","01730",107033.2001,"12547","Bedford","MA",42.496679,-71.27504
"218","01731",77368.8502,"2914","Hanscom AFB","MA",42.459085,-71.27556
"219","01740",125741,"4125","Bolton","MA",42.437086,-71.61266
"220","01741",155000,"4798","Carlisle","MA",42.5286,-71.35084
"221","01742",119901.5425,"17075","Concord","MA",42.457201,-71.37478
"222","01745",114761,"331","Fayville","MA",42.295544,-71.50468
"223","01746",101901.3274,"13866","Holliston","MA",42.196065,-71.43797
"224","01747",97227,"5815","Hopedale","MA",42.125536,-71.53662
"225","01748",121181.7927,"13318","Hopkinton","MA",42.220447,-71.53418
"226","01749",76499.9403,"18081","Hudson","MA",42.389813,-71.55791
"227","01752",71835.2964,"36273","Marlborough","MA",42.350909,-71.54753
"228","01754",76227.9,"10414","Maynard","MA",42.430781,-71.45594
"229","01756",102625,"5257","Mendon","MA",42.092006,-71.54474
"230","01757",68565.0115,"26877","Milford","MA",42.149176,-71.52149
"231","01760",90673.0408,"31763","Natick","MA",42.290763,-71.35368
"232","01770",145250,"4245","Sherborn","MA",42.231025,-71.37202
"233","01772",141458.5354,"8435","Southborough","MA",42.297643,-71.53369
"234","01773",143771.0237,"5143","Lincoln","MA",42.425537,-71.30316
"235","01775",117440,"5902","Stow","MA",42.423882,-71.51086
"236","01776",152789.0328,"16826","Sudbury","MA",42.38532,-71.42989
"237","01778",140651.7175,"13191","Wayland","MA",42.345583,-71.35643
"238","01801",71804.8467,"37213","Woburn","MA",42.484545,-71.15206
"239","01803",90658.68,"22954","Burlington","MA",42.506362,-71.20008
"240","01810",113873.823,"31228","Andover","MA",42.646942,-71.1513
"241","01821",87744.5542,"29306","Billerica","MA",42.54805,-71.25054
